"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021- 12- 28","57,100","54,900","57,100","54,600","0.03K","4.77%"
"2021- 12- 27","54,500","53,500","54,700","52,800","236.51K","2.06%"
"2021- 12- 26","53,400","53,400","53,400","53,400","","0.00%"
"2021- 12- 24","53,400","53,800","54,200","53,200","146.22K","-0.19%"
"2021- 12- 23","53,500","54,500","55,500","52,900","330.98K","-0.19%"
"2021- 12- 22","53,600","53,100","54,100","53,000","0.00K","2.68%"
"2021- 12- 21","52,200","51,800","52,700","51,000","0.05K","1.16%"
"2021- 12- 20","51,600","52,500","53,200","51,600","0.02K","-2.82%"
"2021- 12- 19","53,100","53,100","53,100","53,100","","0.00%"
"2021- 12- 17","53,100","53,300","53,500","52,600","253.08K","-2.03%"
"2021- 12- 16","54,200","53,800","56,000","53,800","0.03K","1.88%"
"2021- 12- 15","53,200","53,600","54,200","52,700","0.00K","-0.93%"
"2021- 12- 14","53,700","53,600","54,600","53,400","0.01K","-0.74%"
"2021- 12- 13","54,100","55,400","55,400","54,100","0.20K","-1.28%"
"2021- 12- 12","54,800","54,800","54,800","54,800","","0.00%"
"2021- 12- 10","54,800","55,600","56,400","54,400","462.08K","-2.66%"
"2021- 12- 09","56,300","55,800","57,600","55,700","0.04K","1.62%"
"2021- 12- 08","55,400","57,100","57,900","55,100","456.10K","-1.60%"
"2021- 12- 07","56,300","55,700","57,900","54,500","564.17K","3.49%"
"2021- 12- 06","54,400","54,800","55,300","53,800","0.09K","-2.33%"
"2021- 12- 05","55,700","55,700","55,700","55,700","","0.00%"
"2021- 12- 03","55,700","53,900","56,800","53,400","735.39K","5.29%"
"2021- 12- 02","52,900","54,100","54,300","52,100","0.04K","-3.99%"
"2021- 12- 01","55,100","56,500","56,500","53,500","0.01K","-1.08%"
"2021- 11- 30","55,700","57,300","58,800","54,900","0.55K","-1.42%"
"2021- 11- 29","56,500","57,000","58,400","55,600","0.34K","-2.42%"
"2021- 11- 28","57,900","57,900","57,900","57,900","","0.00%"
"2021- 11- 26","57,900","61,000","61,400","57,400","495.92K","-4.77%"
"2021- 11- 25","60,800","62,400","63,200","60,100","470.01K","-3.03%"
"2021- 11- 24","62,700","63,300","64,500","61,100","0.65K","0.32%"
"2021- 11- 23","62,500","62,800","64,600","61,900","0.54K","-2.50%"
"2021- 11- 22","64,100","66,100","66,500","62,600","433.94K","-2.73%"
"2021- 11- 21","65,900","65,900","65,900","65,900","","0.00%"
"2021- 11- 19","65,900","67,500","67,500","65,500","312.93K","-1.64%"
"2021- 11- 18","67,000","69,100","69,900","66,800","0.18K","-3.04%"
"2021- 11- 17","69,100","68,800","70,800","67,500","750.50K","0.88%"
"2021- 11- 16","68,500","71,100","71,100","66,900","0.51K","-3.39%"
"2021- 11- 15","70,900","71,200","71,800","70,300","0.07K","-0.84%"
"2021- 11- 14","71,500","71,500","71,500","71,500","","0.00%"
"2021- 11- 12","71,500","75,700","75,800","70,100","781.87K","-1.24%"
"2021- 11- 11","72,400","69,400","73,500","69,400","414.88K","2.40%"
"2021- 11- 10","70,700","72,700","72,700","69,400","0.00K","-3.28%"
"2021- 11- 09","73,100","71,700","73,700","69,900","0.01K","2.38%"
"2021- 11- 08","71,400","71,300","71,800","69,600","0.24K","1.56%"
"2021- 11- 05","70,300","69,800","72,100","68,600","332.28K","0.72%"
"2021- 11- 04","69,800","71,600","72,000","69,400","0.07K","-1.13%"
